Season,Episode,Episode in Season,Title,Director(s),Writer(s),Air Date,Opening Line
1,1,1,Space Pilot 3000,Rich Moore & Gregg Vanzo,David X. Cohen & Matt Groening,(1999-03-28), In Color.
1,2,2,The Series Has Landed,Peter Avanzino,Ken Keeler,(1999-04-04), In Hypno-Vision.
1,3,3,"I, Roommate",Bret Haaland,Eric Horsted,(1999-04-06), As Seen On TV.
1,4,4,Love's Labours Lost in Space,Brian Sheesley,Brian Kelley,(1999-04-13), presented in BC [Brain Control] where available.
1,5,5,Fear of a Bot Planet,Peter Avanzino & Carlos Baeza,Evan Gore & Heather Lombard,(1999-04-20), Featuring Gratuitous Alien Nudity.
1,6,6,A Fishful of Dollars,Ron Hughart & Gregg Vanzo,Patric M. Verrone,(1999-04-27), Loading...
1,7,7,My Three Suns,Jeffrey Lynch & Kevin O'Brien,J. Stewart Burns,(1999-05-04), Presented in Doublevision Doublevision (Where Drunk)
1,8,8,A Big Piece of Garbage,Susan Dietter,Lewis Morton,(1999-05-11), Mr. Bender's Wardrobe By Robotany 500.
1,9,9,Hell Is Other Robots,Rich Moore,Eric Kaplan,(1999-05-18), Condemned By The Space Pope.
1,10,10,A Flight to Remember,Peter Avanzino,Eric Horsted,(1999-09-26), Filmed On Location.
1,11,11,Mars University,Bret Haaland,J. Stewart Burns,(1999-10-03), Transmitido en Martian en SAP.
1,12,12,When Aliens Attack,Brian Sheesley,Ken Keeler,(1999-11-07), Proudly Made On Earth.
1,13,13,Fry and the Slurm Factory,Ron Hughart,Lewis Morton,(1999-11-14), Live From Omicron Persei 8.
2,14,1,I Second That Emotion,Mark Ervin,Patric M. Verrone,"(November 21, 1999)", Made From Meat By-Products.
2,15,2,"Brannigan, Begin Again",Jeffrey Lynch,Lewis Morton,"(November 28, 1999)",Not Y3K Compliant.
2,16,3,A Head in the Polls,Bret Haaland,J. Stewart Burns,"(December 12, 1999)", From The Makers Of Futurama.
2,17,4,Xmas Story,Peter Avanzino,David X. Cohen,"(December 19, 1999)", Based On a True Story.
2,18,5,Why Must I Be a Crustacean in Love?,Brian Sheesley,Eric Kaplan,"(February 6, 2000)"," From the network that brought you ""The Simpsons""."
2,19,6,The Lesser of Two Evils,Chris Sauve,Eric Horsted,"(February 20, 2000)", The Show That Watches Back.
2,20,7,Put Your Head on My Shoulders,Chris Louden,Ken Keeler,"(February 13, 2000)", Not Based On The Novel by James Fenimore Cooper.
2,21,8,Raging Bender,Ron Hughart,Lewis Morton,"(February 27, 2000)", Nominated For Three Glemmys.
2,22,9,A Bicyclops Built for Two,Susan Dietter,Eric Kaplan,"(March 19, 2000)", This Episode Has Been Modified To Fit Your Primitive Screen.
2,23,10,A Clone of My Own,Rich Moore,Patric M. Verrone,"(April 9, 2000)", Coming Soon To An Illegal DVD.
2,24,11,How Hermes Requisitioned His Groove Back,Mark Ervin,Bill Odenkirk,"(April 2, 2000)", As Foretold by Nostradamus.
2,25,12,The Deep South,Bret Haaland,J. Stewart Burns,"(April 16, 2000)", A Stern Warning of Things to Come.
2,26,13,Bender Gets Made,Peter Avanzino,Eric Horsted,"(April 30, 2000)", Simulcast On Crazy People's Fillings.
2,27,14,Mother's Day,Brian Sheesley,Lewis Morton,"(May 14, 2000)"," Larva-Tested, Pupa-Approved."
2,28,15,The Problem with Popplers,Chris Sauve & Gregg Vanzo,Story byâ€Š: Darin Henry & Patric M. Verrone Teleplay byâ€Š: Patric M. Verrone,"(May 7, 2000)", For External Use Only.
2,29,16,Anthology of Interest I,Chris Louden & Rich Moore,"Eric Rogers, Ken Keeler and David X. Cohen","(May 21, 2000)", Painstakingly Drawn Before A Live Audience.
2,30,17,War Is the H-Word,Ron Hughart,Eric Horsted,"(November 26, 2000)", Touch Eyeballs To Screen For Cheap Laser Surgery.
2,31,18,The Honking,Susie Dietter,Ken Keeler,"(November 5, 2000)", Smell-O-Vision Users Insert Nostril Tubes Now.
2,32,19,The Cryonic Woman,Mark Ervin,J. Stewart Burns,"(December 3, 2000)", Not a Substitute for Human Interaction.
3,33,1,Amazon Women in the Mood,Brian Sheesley,Lewis Morton,"(February 4, 2001)", Secreted by the Comedy Bee.
3,34,2,Parasites Lost,Peter Avanzino,Eric Kaplan,"(January 21, 2001)"," If Not Entertaining, Write Your Congressman."
3,35,3,A Tale of Two Santas,Ron Hughart,Bill Odenkirk,"(December 23, 2001)", This Episode Performed Entirely By Sock Puppets.
3,36,4,The Luck of the Fryrish,Chris Louden,Ron Weiner,"(March 11, 2001)", Broadcast Simultaneously One Year In The Future.
3,37,5,The Birdbot of Ice-Catraz,James Purdum,Dan Vebber,"(March 4, 2001)", Now With Chucklelin.
3,38,6,Bendless Love,Swinton O. Scott III,Eric Horsted,"(February 11, 2001)", Torn From Tomorrow's Headlines.
3,39,7,The Day the Earth Stood Stupid,Mark Ervin,Story byâ€Š: Jeff Westbrook and David X. Cohen Teleplay byâ€Š: Jeff Westbrook,"(February 18, 2001)", 80% Entertainment By Volume.
3,40,8,That's Lobstertainment!,Bret Haaland,Patric M. Verrone,"(February 25, 2001)", Deciphered From Crop Circles.
3,41,9,The Cyber House Rules,Susie Dietter,Lewis Morton,"(April 1, 2001)", Please Rise For The Futurama Theme Song.
3,42,10,Where the Buggalo Roam,Patty Shinagawa,J. Stewart Burns,"(March 3, 2002)", Krafted With Luv By Monsters.
3,43,11,Insane in the Mainframe,Peter Avanzino,Bill Odenkirk,"(April 8, 2001)", Bender's Humor by Microsoft Joke.
3,44,12,The Route of All Evil,Brian Sheesley,Dan Vebber,"(December 8, 2002)", Disclaime
