Season,Episode,Character,Line
1,Space Pilot 3000,Fry, Space. It seems to go on and on forever. But then you get to the end and the gorilla starts throwing barrels at you.
1,Space Pilot 3000,Fry, And that's how you play the game!
1,Space Pilot 3000,Boy," You stink, loser!"
1,Space Pilot 3000,Panucci," Hey, Fry. Pizza goin' out! C'mon!!"
1,Space Pilot 3000,Fry," Michelle, baby! Where you going?"
1,Space Pilot 3000,Michelle," It's not working out, Fry. I put your stuff out on the sidewalk!"
1,Space Pilot 3000,Fry," I hate my life, I hate my life, I hate my life."
1,Space Pilot 3000,Bike Thief, Happy new year!
1,Space Pilot 3000,Fry," Hello? Pizza delivery for, uh ... ... Icy Wiener? Aw, crud! I always thought at this point in my life I'd be the one making the crank calls! Here's to another lousy millennium."
1,Space Pilot 3000,Crowd, Ten!
1,Space Pilot 3000,Crowd, Neuf!
1,Space Pilot 3000,Crowd, Otto!
1,Space Pilot 3000,Crowd, Saba!
1,Space Pilot 3000,Crowd, Eksi!
1,Space Pilot 3000,Crowd, Wu!
1,Space Pilot 3000,Crowd, Char!
1,Space Pilot 3000,Crowd, Thathu!
1,Space Pilot 3000,Crowd, Nee!
1,Space Pilot 3000,Crowd, One!
1,Space Pilot 3000,Fry, What the--?
1,Space Pilot 3000,Fry," My God! It's the future. My parents, my co-workers, my girlfriend; I'll never see any of them again. Yahoo!"
1,Space Pilot 3000,Terry, Welcome to the world of tomorrow!
1,Space Pilot 3000,Lou, Why do you always have to say it that way?
1,Space Pilot 3000,Terry," Haven't you ever heard of a little thing called showmanship? Come, your destiny awaits!"
1,Space Pilot 3000,Lou, Have a nice future.
1,Space Pilot 3000,Fry, Cool! Just like in Star Trek! Ow!
1,Space Pilot 3000,Leela," Good afternoon, sir. Name?"
1,Space Pilot 3000,Fry," Uh, Fry."
1,Space Pilot 3000,Leela," I'm Leela. Now, it's New Year's Eve so I'd like to decide your fate quickly and get out of here."
1,Space Pilot 3000,Fry, Can I ask you a question?
1,Space Pilot 3000,Leela, As long as it's not about my eye.
1,Space Pilot 3000,Fry, Uh...
1,Space Pilot 3000,Leela, Is it about my eye?
1,Space Pilot 3000,Fry, Sort of.
1,Space Pilot 3000,Leela, Just ask the question.
1,Space Pilot 3000,Fry, What's with the eye?
1,Space Pilot 3000,Leela," I'm an alien, alright? Now let's drop the subject."
1,Space Pilot 3000,Fry," Cool, an alien! Has your race taken over the Earth?"
1,Space Pilot 3000,Leela," No, I just work here."
1,Space Pilot 3000,Fry, Wait a minute! Is that blimp accurate?
1,Space Pilot 3000,Leela," Yep. It's December 31st, 2999."
1,Space Pilot 3000,Fry, My God! A million years!
1,Space Pilot 3000,Leela, I'm sure this must be very upsetting for you.
1,Space Pilot 3000,Fry," Y'know, I guess it should be but, actually, I'm glad. I had nothing to live for in my old life. I was broke, I had a humiliating job and I was beginning to suspect my girlfriend might be cheating on me."
1,Space Pilot 3000,Leela," Well, at least here you'll be treated with dignity. Now strip naked and get on the probulator."
1,Space Pilot 3000,Leela, Interesting. Your DNA test shows one living relative. He's your great-great-great-great-great-great-great...
1,Space Pilot 3000,Leela, ...great-great-great-great-great nephew.
1,Space Pilot 3000,Fry, That's great! What's the little guy's name?
1,Space Pilot 3000,Leela, Professor Hubert Farnsworth.
1,Space Pilot 3000,Fry, Eurgh!
1,Space Pilot 3000,Fry," Y'know, I'm the luckiest guy in the whole future. I've been given a second chance and this time I'm not going to be a total loser. What's that?"
1,Space Pilot 3000,Leela, Your permanent career assignment.
1,Space Pilot 3000,Fry, Delivery boy? No! Not again! Please! Anything else!
1,Space Pilot 3000,Leela, Take your hands off me! You've been assigned the job you're best at just like everyone else.
1,Space Pilot 3000,Fry, What if I refuse?
1,Space Pilot 3000,Leela, Then you'll be fired--
1,Space Pilot 3000,Fry, Fine!
1,Space Pilot 3000,Leela, Out of a cannon into the Sun!
1,Space Pilot 3000,Fry, But I don't like being a delivery boy.
